timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601640742025,115,HTTP Request,200,,Institution-Query 1-1,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,114,0,2
1601640742142,48,HTTP Request,200,,Institution-Query 1-2,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,48,0,4
1601640742239,43,HTTP Request,200,,Institution-Query 1-3,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,43,0,1
1601640742326,66,HTTP Request,200,,Institution-Query 1-4,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,65,0,3
1601640742426,30,HTTP Request,200,,Institution-Query 1-5,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,30,0,1
1601640742539,32,HTTP Request,200,,Institution-Query 1-6,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,31,0,2
1601640742638,32,HTTP Request,200,,Institution-Query 1-7,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,31,0,1
1601640742725,74,HTTP Request,200,,Institution-Query 1-8,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,73,0,1
1601640742824,40,HTTP Request,200,,Institution-Query 1-9,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,40,0,1
1601640742937,48,HTTP Request,200,,Institution-Query 1-10,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,47,0,0
1601640743041,41,HTTP Request,200,,Institution-Query 1-11,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,40,0,2
1601640743126,42,HTTP Request,200,,Institution-Query 1-12,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,41,0,3
1601640743227,60,HTTP Request,200,,Institution-Query 1-13,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,59,0,2
1601640743338,55,HTTP Request,200,,Institution-Query 1-14,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,55,0,3
1601640743440,60,HTTP Request,200,,Institution-Query 1-15,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,60,0,2
1601640743525,32,HTTP Request,200,,Institution-Query 1-16,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,31,0,1
1601640743627,32,HTTP Request,200,,Institution-Query 1-17,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,32,0,3
1601640743750,25,HTTP Request,200,,Institution-Query 1-18,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,24,0,1
1601640743840,50,HTTP Request,200,,Institution-Query 1-19,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,49,0,2
1601640743924,26,HTTP Request,200,,Institution-Query 1-20,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,25,0,1
1601640744025,15,HTTP Request,200,,Institution-Query 1-21,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,15,0,1
1601640744138,141,HTTP Request,200,,Institution-Query 1-22,text,true,,460,166,2,2,http://localhost:8084/institution-query?omIdentificationNumber=035200,141,0,1
1601640744242,122,HTTP Request,200,,Institution-Query 1-23,text,true,,410,166,2,2,http://localhost:8084/institution-query?omIdentificationNumber=101706,121,0,2
1601640744327,49,HTTP Request,200,,Institution-Query 1-24,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,49,0,2
1601640744427,45,HTTP Request,200,,Institution-Query 1-25,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,44,0,2
1601640744536,32,HTTP Request,200,,Institution-Query 1-26,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,32,0,2
1601640744637,36,HTTP Request,200,,Institution-Query 1-27,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,35,0,2
1601640744723,110,HTTP Request,200,,Institution-Query 1-28,text,true,,460,166,2,2,http://localhost:8084/institution-query?omIdentificationNumber=035200,110,0,1
1601640744824,41,HTTP Request,200,,Institution-Query 1-29,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,40,0,2
1601640744936,27,HTTP Request,200,,Institution-Query 1-30,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,26,0,2
1601640745035,54,HTTP Request,200,,Institution-Query 1-31,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,53,0,1
1601640745125,31,HTTP Request,200,,Institution-Query 1-32,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,30,0,1
1601640745227,34,HTTP Request,200,,Institution-Query 1-33,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,33,0,3
1601640745335,51,HTTP Request,200,,Institution-Query 1-34,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,51,0,3
1601640745434,35,HTTP Request,200,,Institution-Query 1-35,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,35,0,1
1601640745525,19,HTTP Request,200,,Institution-Query 1-36,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,17,0,1
1601640745626,23,HTTP Request,200,,Institution-Query 1-37,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,23,0,2
1601640745742,20,HTTP Request,200,,Institution-Query 1-38,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,20,0,1
1601640745833,56,HTTP Request,200,,Institution-Query 1-39,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,55,0,1
1601640745924,18,HTTP Request,200,,Institution-Query 1-40,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,17,0,1
1601640746025,25,HTTP Request,200,,Institution-Query 1-41,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,25,0,2
1601640746141,9,HTTP Request,200,,Institution-Query 1-42,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,9,0,0
1601640746239,44,HTTP Request,200,,Institution-Query 1-43,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,44,0,1
1601640746325,25,HTTP Request,200,,Institution-Query 1-44,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,25,0,0
1601640746424,31,HTTP Request,200,,Institution-Query 1-45,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,31,0,0
1601640746536,38,HTTP Request,200,,Institution-Query 1-46,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,37,0,1
1601640746636,12,HTTP Request,200,,Institution-Query 1-47,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,12,0,1
1601640746724,30,HTTP Request,200,,Institution-Query 1-48,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,29,0,1
1601640746825,35,HTTP Request,200,,Institution-Query 1-49,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,35,0,2
1601640746944,24,HTTP Request,200,,Institution-Query 1-50,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,24,0,1
1601640747038,18,HTTP Request,200,,Institution-Query 1-51,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,17,0,2
1601640747125,27,HTTP Request,200,,Institution-Query 1-52,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,27,0,2
1601640747226,21,HTTP Request,200,,Institution-Query 1-53,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,21,0,2
1601640747337,24,HTTP Request,200,,Institution-Query 1-54,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,22,0,2
1601640747439,22,HTTP Request,200,,Institution-Query 1-55,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,21,0,1
1601640747540,28,HTTP Request,200,,Institution-Query 1-56,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,28,0,2
1601640747644,25,HTTP Request,200,,Institution-Query 1-57,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,22,0,2
1601640747739,38,HTTP Request,200,,Institution-Query 1-58,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,37,0,2
1601640747839,81,HTTP Request,200,,Institution-Query 1-59,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,79,0,2
1601640747941,29,HTTP Request,200,,Institution-Query 1-60,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,28,0,3
1601640748043,34,HTTP Request,200,,Institution-Query 1-61,text,true,,410,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=101706,33,0,2
1601640748140,28,HTTP Request,200,,Institution-Query 1-62,text,true,,460,166,1,1,http://localhost:8084/institution-query?omIdentificationNumber=035200,28,0,2
